Format:,1.0,,Num Col:,36,,Alt units:,feet,,Vel units:,feet/sec,,Acc units:,G's,,Dist units:,feet,,,,,,,,,,,,,,,,,,,
Launch Date:,,"Mon Apr 20 2026",,,,,,,Device Type:,,Receiver,,,,,,,Booster Burnout:,,4.63,sec,,Apogee:,,27.2,sec,,,,,,,,,
Flyer's name:,,"",,,,,,,Serial Number:,,Mx220D0633,,,,,,,Stage-2 Ignition:,,NA,sec,,Apogee Deploy:,,27.2,sec,,,,,,,,,
Rocket name:,,"A",,,,,,,Firmware:,,7.10.0.24,,,,,,,Stage-2 Burnout:,,NA,sec,,Main Deploy:,,123.4,sec,,,,,,,,,
Motor:,,"",,,,,,,Gyro Data Available:,,No,,,,,,,Stage-3 Ignition:,,NA,sec,,Touch Down:,,200.0,sec,,,,,,,,,
Launch site:,,"",,,,,,,,,,,,,,,,Stage-3 Burnout:,,NA,sec,,User Defined:,,NA,sec,,,,,,,,,
Comment:,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flight,Acc,Acc,Acc,Baro,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,GPS,,,,TelemPro,Pyro,Pyro,Pyro,Gyro,Roll,Pitch,Yaw,Roll,Roll,Quat,Quat,Quat,Quat,LineOfSight,DownLink
time,acceleration,velocity,altitude,altitude,altitude,altitude,3D velocity,3D velocity,vertical vel,ground speed,heading,tilt,latitude,longitude,number,fix,UTC,UTC,UTC,time,External,External,Real Time,tilt,rate,rate,rate,angle,angle_UW,W,X,Y,Z,Distance,SignalStrength
sec,G's,feet/sec,feet AGL,feet AGL,feet AGL,feet MSL,feet/sec,Mach,feet/sec,feet/sec,degrees,degrees,degrees,degrees,of sat's,status,hours,minutes,seconds,stamp,Input-1,Input-2,Status Bits,degress,deg/sec,deg/sec,deg/sec,degrees,degress,unitless,unitless,unitless,unitless,feet,dBm
0.60,7.984375,150.00,43.00,NA,42.00,488.00,154.38,0.139,152.00,27.00,15,10.07,40.80927667,-73.96223000,14,6,23,28,44.20,51205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,-41
1.00,7.917969,252.00,123.00,NA,123.00,569.00,256.97,0.231,253.00,45.00,15,10.09,40.80931500,-73.96221667,15,6,23,28,44.60,51245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,-41
1.20,7.855469,303.00,179.00,NA,179.00,625.00,307.77,0.276,303.00,54.00,15,10.11,40.80934167,-73.96220833,15,6,23,28,44.80,51265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,-41
1.40,7.789062,353.00,245.00,NA,245.00,691.00,358.58,0.322,353.00,63.00,15,10.12,40.80937167,-73.96219667,15,6,23,28,45.00,51285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,-41
1.60,7.722656,403.00,320.00,NA,320.00,766.00,408.40,0.367,402.00,72.00,15,10.15,40.80940833,-73.96218333,15,6,23,28,45.20,51305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,-41
2.00,7.578125,502.00,502.00,NA,501.00,947.00,507.86,0.456,500.00,89.00,15,10.09,40.80949333,-73.96215333,15,6,23,28,45.60,51345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,-41
2.20,7.496094,550.00,607.00,NA,606.00,1052.00,555.71,0.500,547.00,98.00,15,10.16,40.80954333,-73.96213667,14,6,23,28,45.80,51365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,-41
2.40,7.398438,598.00,722.00,NA,720.00,1166.00,604.37,0.544,595.00,106.00,15,10.10,40.80959667,-73.96211667,14,6,23,28,46.00,51385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897,-41
2.60,7.300781,646.00,847.00,NA,844.00,1290.00,651.23,0.586,641.00,115.00,15,10.17,40.80965500,-73.96209667,14,6,23,28,46.20,51405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869,-41
3.00,7.085938,738.00,1124.00,NA,1119.00,1565.00,744.61,0.671,733.00,131.00,15,10.13,40.80978667,-73.96205000,14,6,23,28,46.60,51445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1148,-41
3.20,6.941406,783.00,1276.00,NA,1270.00,1716.00,789.34,0.711,777.00,139.00,15,10.14,40.80985833,-73.96202500,14,6,23,28,46.80,51465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301,-41
3.40,6.843750,828.00,1437.00,NA,1430.00,1876.00,834.06,0.752,821.00,147.00,15,10.15,40.80993333,-73.96199833,14,6,23,28,47.00,51485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464,-41
3.60,6.726562,872.00,1607.00,NA,1598.00,2044.00,877.79,0.792,864.00,155.00,15,10.17,40.81001333,-73.96197000,14,6,23,28,47.20,51505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1634,-41
4.00,6.027344,954.00,1973.00,NA,1961.00,2407.00,960.17,0.867,945.00,170.00,15,10.20,40.81018500,-73.96190833,14,6,23,28,47.60,51545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,-41
4.20,5.554688,991.00,2168.00,NA,2153.00,2599.00,997.82,0.902,982.00,177.00,15,10.22,40.81027833,-73.96187500,14,6,23,28,47.80,51565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198,-41
4.40,5.113281,1026.00,2369.00,NA,2353.00,2799.00,1032.35,0.934,1016.00,183.00,15,10.21,40.81037333,-73.96184167,14,6,23,28,48.00,51585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2401,-41
4.60,4.707031,1057.00,2578.00,NA,2560.00,3006.00,1063.92,0.963,1047.00,189.00,15,10.23,40.81047167,-73.96180667,14,6,23,28,48.20,51605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2612,-41
5.00,-3.746094,1015.00,2994.00,NA,2970.00,3416.00,1017.59,0.922,1001.00,183.00,15,10.36,40.81066833,-73.96173667,14,6,23,28,48.60,51645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3028,-41
5.20,-3.433594,992.00,3195.00,NA,3168.00,3614.00,994.43,0.902,978.00,180.00,15,10.43,40.81076500,-73.96170333,14,6,23,28,48.80,51665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3230,-41
5.40,-3.175781,971.00,3391.00,NA,3361.00,3807.00,973.41,0.884,957.00,178.00,15,10.54,40.81086000,-73.96167000,14,6,23,28,49.00,51685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3426,-41
5.60,-2.976562,951.00,3583.00,NA,3551.00,3997.00,954.18,0.867,938.00,175.00,15,10.57,40.81095333,-73.96163667,14,6,23,28,49.20,51705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3620,-41
6.00,-2.554688,915.00,3957.00,NA,3919.00,4365.00,919.05,0.836,903.00,171.00,15,10.72,40.81113500,-73.96157167,15,6,23,28,49.60,51745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3994,-41
6.20,-2.421875,899.00,4138.00,NA,4098.00,4544.00,902.96,0.822,887.00,169.00,15,10.79,40.81122500,-73.96154000,15,6,23,28,49.80,51765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4176,-41
6.40,-2.308594,884.00,4317.00,NA,4274.00,4720.00,888.04,0.809,872.00,168.00,15,10.91,40.81131500,-73.96150833,15,6,23,28,50.00,51785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4355,-41
6.60,-2.195312,870.00,4492.00,NA,4447.00,4893.00,872.93,0.795,857.00,166.00,15,10.96,40.81140333,-73.96147667,15,6,23,28,50.20,51805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4531,-41
7.00,-2.097656,842.00,4835.00,NA,4785.00,5231.00,845.85,0.772,830.00,163.00,15,11.11,40.81157667,-73.96141500,15,6,23,28,50.60,51845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4876,-41
7.20,-2.066406,829.00,5002.00,NA,4949.00,5395.00,832.91,0.760,817.00,162.00,15,11.22,40.81166333,-73.96138500,15,6,23,28,50.80,51865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5043,-41
7.40,-2.031250,816.00,5167.00,NA,5111.00,5557.00,819.96,0.749,804.00,161.00,15,11.32,40.81174833,-73.96135500,15,6,23,28,51.00,51885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5208,-41
7.60,-2.000000,803.00,5328.00,NA,5271.00,5717.00,806.82,0.737,791.00,159.00,15,11.37,40.81183333,-73.96132500,15,6,23,28,51.20,51905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5371,-41
8.00,-1.933594,778.00,5645.00,NA,5582.00,6028.00,781.92,0.715,766.00,157.00,15,11.58,40.81200000,-73.96126500,15,6,23,28,51.60,51945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5688,-41
8.20,-1.886719,765.00,5799.00,NA,5734.00,6180.00,769.97,0.705,754.00,156.00,15,11.69,40.81208167,-73.96123500,15,6,23,28,51.80,51965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5844,-41
8.40,-1.867188,753.00,5951.00,NA,5884.00,6330.00,757.81,0.694,742.00,154.00,15,11.73,40.81216500,-73.96120667,15,6,23,28,52.00,51985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5997,-41
8.60,-1.835938,741.00,6101.00,NA,6031.00,6477.00,745.86,0.683,730.00,153.00,15,11.84,40.81224667,-73.96117833,15,6,23,28,52.20,52005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6147,-41
9.00,-1.769531,718.00,6393.00,NA,6319.00,6765.00,722.95,0.663,707.00,151.00,15,12.06,40.81240667,-73.96112000,15,6,23,28,52.60,52045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6441,-41
9.20,-1.753906,707.00,6535.00,NA,6459.00,6905.00,711.98,0.653,696.00,150.00,15,12.16,40.81248667,-73.96109167,15,6,23,28,52.80,52065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6585,-41
9.40,-1.722656,696.00,6676.00,NA,6597.00,7043.00,701.02,0.644,685.00,149.00,15,12.27,40.81256500,-73.96106500,15,6,23,28,53.00,52085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6726,-41
9.60,-1.687500,685.00,6814.00,NA,6733.00,7179.00,690.06,0.634,674.00,148.00,15,12.38,40.81264500,-73.96103667,15,6,23,28,53.20,52105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6865,-41
